car,model,body part,shop1 (eqbal),shop2(haraj),shop3 
accent,2021,rear light (l),261.6,773,1133
accent,2021,rear light (r),261.6,787,1133
accent,2021,side bumper(l),null,null,111.7
accent,2021,side bumper(r),null,null,111.7
accent,2022,car boot,1340,1400,1184.01
accent,2022,car hood,944.55, 944.55 ,1070.08
accent,2022,driver door(f/r),"1,575.64"," 1,575.64 ",1702.9
accent,2022,fender (f/l),395,390,350.64
accent,2022,fender (f/r),395,390,350.64
accent,2022,fender (r/l),1470,1550,988.73
accent,2022,fender (r/r),1470,1550,988.73
accent,2022,front bumper,416, 299,632.82
accent,2022,headlight (l),794, 794,3256.04
accent,2022,headlight (r),794,794,3256.04
accent,2022,passenger door (f/l),1575.64,1575.64,1702.9
accent,2022,passenger door (r/l),1024,1024,1702.9
accent,2022,passenger door (r/r),1024,1024,1702.9
accent,2022,rear bumper,632.5,632.5,640.18
accent,2022,rear light (l),600,600,1133
accent,2022,rear light (r),610,610,1133
accent,2022,side bumper(l),null,null,111.7
accent,2022,side bumper(r),null,null,111.7
accent,2023,car boot,950,950,1184.01
accent,2023,car hood,1975,1975,1070.08
accent,2023,driver door(f/r),1100,1250,1702.9
accent,2023,fender (f/l),470,530,350.64
accent,2023,fender (f/r),470,530,350.64
accent,2023,fender (r/l),1380,1450,988.73
accent,2023,fender (r/r),1380,1450,988.73
accent,2023,front bumper,416, 416,632.82
accent,2023,headlight (l),650,650,1948
accent,2023,headlight (r),650,650,1948
accent,2023,passenger door (f/l),1100,1250,1702.9
accent,2023,passenger door (r/l),1250,1460,1702.9
accent,2023,passenger door (r/r),1250,1460,1702.9
accent,2023,rear bumper,290,270,640.18
accent,2023,rear light (l),730,680,1133
accent,2023,rear light (r),730,680,1133
accent,2023,side bumper(l),null,null,111.7
accent,2023,side bumper(r),null,null,111.7
accent,2024,car boot,1200,1200,"1,266.82"
accent,2024,car hood,1200,1200,"1,184.01"
accent,2024,driver door(f/r),1000, 1000,"1,594.84"
accent,2024,fender (f/l),400,400,700.07
accent,2024,fender (f/r),400,400,700.07
accent,2024,fender (r/l),400,400,1065.68
accent,2024,fender (r/r),400,400,1065.68
accent,2024,front bumper,1000,1000,690.1
accent,2024,headlight (l),2000,354,2975.58
accent,2024,headlight (r),2000,354,2975.58
accent,2024,passenger door (f/l),1000,1000,1594.84
accent,2024,passenger door (r/l),800,800,1497.95
accent,2024,passenger door (r/r),800,800,1497.95
accent,2024,rear bumper,700,700,362.68
accent,2024,rear light (l),500,500,870
accent,2024,rear light (r),500,500,870
accent,2024,side bumper(l),null,null,111.7
accent,2024,side bumper(r),null,null,111.7
tahoe,2018,car boot,2800,3400,2000
tahoe,2018,car hood,1378,1890,5961
tahoe,2018,driver door(f/r),2300,3000,2500
tahoe,2018,fender (f/l),1119,639,3430
tahoe,2018,fender (f/r),1119,639,3430
tahoe,2018,fender (r/l),2100,2700,2500
tahoe,2018,fender (r/r),2100,2700,2500
tahoe,2018,front bumper,2830,1890,3312
tahoe,2018,headlight (l),1138,615,4395.3
tahoe,2018,headlight (r),1138,615,4395.3
tahoe,2018,passenger door (f/l),3100,3400,3000
tahoe,2018,passenger door (r/l),3100,3400,3000
tahoe,2018,passenger door (r/r),3100,3400,3000
tahoe,2018,rear bumper,1680,1045,4168
tahoe,2018,rear light (l),868,492,1666
tahoe,2018,rear light (r),868,429,1666
tahoe,2018,side bumper(l),null,450,650
tahoe,2018,side bumper(r),null,450,650
tahoe,2019,car boot,2800,3500,3000
tahoe,2019,car hood,1378,1890,5961
tahoe,2019,driver door(f/r),3200,2800,3500
tahoe,2019,fender (f/l),1119,639,3430
tahoe,2019,fender (f/r),1119,639,3430
tahoe,2019,fender (r/l),2600,1900,2500
